Date,Open,High,Low,Close,Adj Close,Volume
2019-05-07,334.739990,334.739990,328.839996,330.899994,314.354584,1176400
2019-05-08,330.899994,336.880005,330.350006,334.179993,317.470520,1083800
2019-05-09,334.000000,340.329987,331.940002,339.359985,322.391541,1496500
2019-05-10,337.410004,341.619995,335.269989,341.350006,324.282013,1204900
2019-05-13,335.250000,339.750000,333.200012,335.369995,318.601074,1504000
2019-05-14,336.010010,340.920013,334.750000,336.170013,319.361053,1171600
2019-05-15,335.290009,335.709991,329.929993,334.149994,317.442078,1127000
2019-05-16,335.920013,339.649994,334.850006,339.390015,322.420013,1092100
2019-05-17,336.459991,340.950012,336.459991,337.989990,321.090088,1268400
2019-05-20,337.239990,344.290009,337.239990,342.010010,324.909027,1388200
2019-05-21,343.600006,344.799988,339.500000,343.950012,326.752014,1097800
2019-05-22,343.290009,343.290009,339.880005,341.299988,324.234558,1049300
2019-05-23,339.720001,341.440002,336.079987,340.070007,323.066040,1461200
2019-05-24,340.670013,341.619995,337.269989,338.779999,321.840546,1293100
2019-05-28,338.959991,341.279999,337.100006,337.890015,320.995056,3559400
2019-05-29,336.779999,340.359985,335.279999,339.339996,322.372589,1184400
2019-05-30,340.000000,343.480011,339.750000,341.959991,324.861542,859100
2019-05-31,337.589996,341.140015,337.489990,338.540009,323.695038,1024000
2019-06-03,338.079987,344.779999,337.899994,344.570007,329.460602,1345100
2019-06-04,345.880005,349.679993,345.880005,349.350006,334.031036,1573300
2019-06-05,349.989990,352.859985,348.510010,352.700012,337.234100,1750500
2019-06-06,353.369995,354.339996,350.149994,352.519989,337.062042,1149800
2019-06-07,353.450012,356.149994,352.399994,355.230011,339.653229,1125800
2019-06-10,357.970001,358.630005,350.730011,351.600006,336.182404,1356200
2019-06-11,352.010010,352.549988,340.869995,344.040009,328.953857,1684300
2019-06-12,344.230011,346.140015,342.320007,345.510010,330.359406,1131900
2019-06-13,347.579987,349.709991,344.399994,349.079987,333.772858,1203900
2019-06-14,349.079987,352.459991,348.440002,350.140015,334.786407,1059400
2019-06-17,351.220001,352.410004,346.760010,348.690002,333.399994,904200
2019-06-18,349.489990,354.279999,348.390015,353.519989,338.018158,826400
2019-06-19,353.760010,356.549988,353.190002,355.730011,340.131256,816500
2019-06-20,357.769989,363.329987,357.709991,362.799988,346.891266,1048800
2019-06-21,362.230011,362.739990,357.570007,359.359985,343.602081,1544700
2019-06-24,360.440002,362.880005,359.739990,359.980011,344.194916,1766700
2019-06-25,360.000000,362.799988,359.739990,360.559998,344.749512,1168900
2019-06-26,361.640015,362.000000,357.000000,359.500000,343.735931,977700
2019-06-27,359.929993,360.519989,357.260010,359.089996,343.343903,826500
2019-06-28,359.480011,363.750000,357.670013,363.540009,347.598846,1369600
2019-07-01,365.410004,366.769989,361.049988,361.470001,345.619568,1003900
2019-07-02,361.579987,367.570007,361.070007,367.570007,351.452087,1052800
2019-07-03,367.940002,370.470001,365.350006,370.380005,354.138885,742100
2019-07-05,369.880005,370.829987,366.670013,369.920013,353.699005,716900
2019-07-08,368.540009,369.920013,366.779999,369.179993,352.991486,646600
2019-07-09,367.750000,370.250000,366.100006,369.730011,353.517365,651000
2019-07-10,370.000000,373.369995,367.839996,368.160004,352.016266,818700
2019-07-11,368.160004,369.380005,366.209991,368.230011,352.083160,1358000
2019-07-12,369.200012,369.510010,366.829987,369.450012,353.249664,1148700
2019-07-15,369.839996,370.010010,366.899994,367.690002,351.566803,1010700
2019-07-16,368.000000,368.420013,365.160004,365.350006,349.329407,1027100
2019-07-17,365.350006,365.470001,357.850006,358.470001,342.751099,1867000
2019-07-18,358.290009,358.380005,352.790009,356.209991,340.590210,1704900
2019-07-19,357.640015,359.100006,355.850006,356.959991,341.307312,1463300
2019-07-22,357.440002,358.470001,355.559998,357.630005,341.947937,1144700
2019-07-23,363.000000,363.000000,350.809998,357.799988,342.110474,2343900
2019-07-24,358.200012,368.989990,358.000000,368.899994,352.723755,1900400
2019-07-25,368.760010,372.709991,367.149994,370.320007,354.081482,1143300
2019-07-26,369.609985,370.709991,367.779999,369.459991,353.259186,791300
2019-07-29,369.410004,370.109985,367.950012,369.619995,353.412201,659200
2019-07-30,368.630005,370.670013,365.329987,365.989990,349.941345,699400
2019-07-31,365.910004,368.709991,359.290009,362.170013,346.288910,1037100
2019-08-01,361.720001,367.339996,359.190002,363.089996,347.168488,1220300
2019-08-02,364.130005,364.309998,359.489990,361.910004,346.040253,836300
2019-08-05,356.549988,361.100006,353.970001,358.429993,342.712860,1464600
2019-08-06,361.279999,366.890015,358.839996,366.779999,350.696686,1124900
2019-08-07,364.019989,370.929993,362.019989,369.299988,353.106232,1243000
2019-08-08,370.010010,378.399994,370.010010,377.170013,360.631104,1185800
2019-08-09,376.100006,379.359985,373.329987,377.010010,360.478119,872000
2019-08-12,375.000000,378.049988,373.600006,377.000000,360.468597,706100
2019-08-13,377.989990,381.510010,375.279999,377.220001,360.678894,1054900
2019-08-14,376.000000,376.000000,367.359985,368.940002,352.761993,1469100
2019-08-15,369.149994,374.570007,367.170013,373.459991,357.083832,1066900
2019-08-16,376.100006,378.339996,373.369995,377.000000,360.468597,821400
2019-08-19,379.750000,381.679993,378.519989,380.470001,363.786438,799900
2019-08-20,380.500000,384.100006,379.500000,381.750000,365.010254,920600
2019-08-21,384.000000,384.279999,379.290009,383.000000,366.205444,791500
2019-08-22,383.000000,386.649994,380.720001,385.880005,368.959198,742600
2019-08-23,385.279999,386.929993,374.609985,376.890015,360.363434,1392700
